,user,description,followers,location,text
3333,theind_india,"India's NEWS Channel for Digital Media!
To get in touch with us, send a Direct Message",1117,India,"Feeling blessed after praying at the Jeshoreshwari Kali Temple : PM @narendramodi 

#NarendraModi… https://t.co/su7PgBtBOo"
3334,GoNews_India,"Credible. Concise. Co-Creative. 
Support Good Journalism: 
https://t.co/9lmV8B3pCO",4894,,"GoHeadlines- Top News of the Hour | #NewsIn90Sec

More @ https://t.co/ojd4Xbw4Hz

#Assam #AssamElections… https://t.co/J2XqqCtOsA"
3335,thefirstindia,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia | 📱Download App: https://t.co/ttcbQyyCKj,7045,"Jaipur, India","Have brought love of 130 crore Indians for you: PM Modi tells Matua community in Bangladesh

READ:… https://t.co/ekRaFMlQMB"
3336,sudhakar986,"Njan Educated📖
Pakshe Temmadi😈",22,Mumbai,"Bal Narendra even existed during Indus Valley Civilization 😅😱
#NoVoteTo_LiarModi #BJPFearsKejriwal #BJP… https://t.co/1qeoDk7UQr"
3337,Touhidul123,"Love is not life,
Love is part of life.",2,"Rangpur, Bangladesh   ","#NarendraModi 
Narendra Modi you leave Bangladesh."
3338,MBCTVODISHA,"We grow...Therefore We Change...   Official Page of MBCtv, Odisha.",33207,"Bhubaneshwar, India","PM #NarendraModi concluded his address to Matua community in Orakandi, Bangladesh with slogans, earlier today. https://t.co/hBByPQBwJ6"
3339,thefirstindia,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia | 📱Download App: https://t.co/ttcbQyyCKj,7045,"Jaipur, India",#Bangladesh | PM Narendra Modi meets the members of Matua community in Orakandi. Foreign Secretary Harsh Vardhan Sh… https://t.co/hSJ1nYTgNQ
3340,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
=============== 
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/qgQtruIIvS"
3341,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============  
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/qdMQ9CAipX"
3342,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/My7SbeHQTw"
3343,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/nE9NG8GM4N"
3344,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/ldRX7b1pNe"
3345,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/6XDtV6kc5Q"
3346,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/CCsMDRFLoI"
3347,sahil29nov,,56,,@BHASKARSAXENA4 @gurgaonpolice @DC_Gurugram @cmohry #BJP #NarendraModi  #Haryana   @thetribunechd  @gurgaonpolice… https://t.co/BdZgBTg2fi
3348,kamalAW19,,18,,"Mamta B. angry when people say #jaishreeram this is the reality of 👇Mamta B 😏 #VoteForModi
#AmarVoteBJPKe
#Vote4BJP… https://t.co/0Elut9jpUe"
3349,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/JAefkbxvBX"
3350,iRameshwarArya,"#Om
#BharatMataKiJai
#JaiShreeRam
Ek Bharat Shreshth Bharat Akhand Bharat 
#ModiBhakt #YogiBhakt  #ModirSatheBangla https://t.co/xaij95Owwp",694,,"Modi was arrested nad send to tihar jail , they were protesting outside the residence of then Prime minister… https://t.co/KeEHfVZcyH"
3351,Ineedchange2,As we are heading towards a wrong things in India this is just to create awareness among my Country People Please have a look on my profile,0,,Why does politicians need  Z+ securities  if they do good in every aspect ? Why they publicly don't give mic in any… https://t.co/VxPPkr8Yjc
3352,jagdish1070,"I am trying to be a good person. I am trying to be myself, and if nobody likes me for me, that is their problem.",81,"Bhubaneswar, Odisha",Yes this is Bangladesh where HINDU's have always been deprived of their rights. But PM #NarendraModi Ji worshipping… https://t.co/Q3f2lIB9l6
3353,JesukaP,"🇨🇳🇵🇰 Agents👤🐖🥄🥣🥄  Keep Safe Distance .
Long-term Investor,In Stock Market Since 1977-78, Only Fundamental, No Technical,
Honest Tax Payer.",946,CHENNAI,"#NarendraModi
#EbarBJP #Nandigram #BengalElection2021
#AmarVoteBJPKe
#WestBengalPolls
#WestBengal
Vote For BJP

[… https://t.co/osuQrEUoxY"
3354,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/FlFLLlwwx7"
3355,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/61GgDZIP38"
3356,Ravikum47425814,,132,,He is in bangladesh.#NarendraModi https://t.co/EAkB0ktKpa
3357,ians_india,India's largest independent News Agency,62717,New Delhi,Visiting Indian Prime Minister #NarendraModi (@narendramodi) on Saturday said that #Bangladesh is a strong example… https://t.co/RsxVYlpAIu
3358,Shomes_quest,"A Proud Bharatiya who loves his BHARAT MATA  & it's ARMY..A die hard supporter of our honourable PM NARENDRA MODI... 
JAI HIND🇮🇳🇮🇳",2263,Bharatvarsh,"The Grace,The Calmness &amp;The Aura which enlightens the face of this great persona ,our Honorable PM #NarendraModi is… https://t.co/3nilMTMBPA"
3359,Sureshhhraz,"Patriotic by heart, 
By ❤️ @BJP4India
Digital Creator
Digital Marketing Specialist
Digital Marketing Consultant
SEO
SMO
AdWord Strategist",128,"New Delhi, India",Best PM #NarendraModi  ji https://t.co/n9h8y8Vvxq
3360,OpinionExpress,News Destination For The Global Indian Community,2585,India,#NarendraModi: Visiting Indian PM Narendra Modi said that Bangladesh is a strong example of communal harmony.… https://t.co/VaWBhoi44X
3361,wamansanap,,749,"Risod, India","I still remembered, To get the Freedom from British i participated in satyagraha and i was in jail for 2 yrs 😅😂🤣. F… https://t.co/3gHAeoRdp1"
3362,Outlookindia,The fully loaded news magazine from India,229514,"New Delhi, India","PM Modi, who is on a two-day visit to Bangladesh, visited the Matua temple in Orakandi, the birthplace of Hindu mys… https://t.co/unE7VEG5Mp"
3363,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/c5lDp1bOmh"
3364,Opoyis,High-quality trusted conversations around news and information.,10554,,PM #NarendraModi's remark that he did #satyagraha for #Bangladesh's freedom has led to the Opposition asking for pr… https://t.co/fgKSOfxUgT
3365,Subho57353642,,10,Bengaluru ,#NarendraModi is the most dangerous man born in India. Indians should send him back to the tea stall.
3366,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/qf1v42FMpb",5568393,India,"PM Modi offers prayers at #Orakandi Temple in #Bangladesh
#NarendraModi #ITVideo (@gauravcsawant, @snehamordani) https://t.co/UcjwK3fGGv"
3367,SuddiK,"#Advertising professional, like to comment on #Politics & it's personal.",233,Bangalore,@Manav_SS_Gupta @INCIndia @RahulGandhi @KumariRukshmani @LavanyaBallal @RiaRevealed @srinivasiyc @SalmanNizami_… https://t.co/fbnw5dDUs1
3368,AbhimanyuAanand,🐑  🎀  𝐿🌞𝓋𝑒 𝓈🍑𝒸𝒾𝒶𝓁 𝓈𝒾𝓉𝑒𝓈..𝒾𝓉𝓈 𝒸💙𝓃𝓃𝑒𝒸𝓉 𝒹𝒾𝓈𝓉𝒶𝓃𝒸𝑒 𝓇𝑒𝓁𝒶𝓉𝒾🌞𝓃..𝐼𝓉 𝑔𝒾𝓋𝑒𝓈 𝓇𝒾𝑔𝒽𝓉𝓈 𝓉🍬 𝓈𝓅𝑒𝒶𝓀 𝓇𝒾𝑔𝒽𝓉 𝓉𝒽,54,INDIA,"Happy Holi In Advance For All....
#Holi2021 #HoliCelebration #INDvsENG #Politics
#NarendraModi #BeratKandilimiz… https://t.co/LDDQa6puMg"
3369,VBhardwaj4444,ॐ,75,,"#VoteForModi 
Nation First.  #AmarVoteBJPKe 
#Vote4SonarBangla #VoteForBjp #Vote4BJP #NarendraModi #WestBengalPolls… https://t.co/rv41T2aAK4"
3370,naanuunknownu,"ಏನಾದರೂ ಆಗುವ ಮೊದಲು ಮಾನವನಾಗು.... 
ಕನ್ನಡವೇ ಸತ್ಯ ಕನ್ನಡವೇ ನಿತ್ಯ",125,"Mysore, India","The liberandu's crying in Twitter on voting day
#NarendraModi"
3371,AshuCrix,"||Living Life.exe||
India First",316,India,"What is the goal of your life ?

Me : 👇✍️

#NarendraModi https://t.co/xTwY3q9Dbh"
3372,the_hindu,News feeds from India's National Newspaper,6717793,"Chennai, India",Prime Minister #NarendraModi on March 27 urged people to cast votes in record numbers as polling began in the morni… https://t.co/LlMEKTU9e0
3373,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/uiaR9Xf5XO"
3374,iRameshwarArya,"#Om
#BharatMataKiJai
#JaiShreeRam
Ek Bharat Shreshth Bharat Akhand Bharat 
#ModiBhakt #YogiBhakt  #ModirSatheBangla https://t.co/xaij95Owwp",694,,"Feeling blessed after praying at the Jeshoreshwari Kali Temple - PM #narendramodi  https://t.co/GGIV60Rk6y

#Bangladesh50 #Bangladesh"
3375,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
 Vote for BJP Vote for Nation 
#LieLikeModi… https://t.co/aTaXfegyHI"
3376,thandoratimes,"https://t.co/mIYTydZ2Pu is a news and entertainment website. We provide you with the latest breaking news , images and videos from the industry.",2147,"Chennai, India","Vote in record numbers in Assam, West Bengal: Modi

#PrimeMinister #NarendraModi #Assam #WestBengalPolls… https://t.co/IbZ3AdWPkP"
3377,Oneindia,"https://t.co/b2BCDYhPGV is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",64492,India,"Both India and Bangladesh want to see stability, peace in world: PM Modi in Orakandi   https://t.co/kH9kWgf35s #NarendraModi"
3378,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/UFEtT6SLIr"
3379,ilyaz7,"We were most humiliated people on the face of the earth, God gave us honour through Islam, if we seek honor through anything else, God will humiliate us again.",523,"London, England","#NarendraModi even fought for the independence of Pakistan. 
#Bangladesh 
#LieLikeModi 
#NarendraModi"
3380,NewsMobileIndia,NewsMobile is a fact checked mobile news and content platform and busts fake news. We are a signatory to IFCN code of principles  founded by @isaurabhshukla,16581,India,#Bangladesh: Prime Minister #NarendraModi meets the members of #Matua community in #Orakandi. NSA #AjitDoval and Fo… https://t.co/H92nOIylmt
3381,thenewsroomnow,"All round news & updates 

#TheNewsRoomNow",81,,"“The life of #Bangabandhu epitomized the freedom #struggle of the people of Bangladesh for their rights, for the pr… https://t.co/bKOYzFHKVd"
3382,briflynews,News Simplified,205,India,Four died including three students in Bangladesh's Chittagong after police battered protestors for opposing PM Nare… https://t.co/0dv9bb1TH1
3383,newsbluntmedia,,348,India,"During #Corona pandemic,India &amp; Bangladesh have proven their capabilities. Today both nations are facing this pande… https://t.co/uIOgZ3Rivh"
3384,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"=============== 
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/qR6mN2ZLeM"
3385,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/CaVlCXn00z"
3386,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/tmK5L7IaLZ"
3387,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/I0HGLhoDMC"
3388,Ber56788,#DalitLivesMatter,17,,"Madurai MP Venkatesan sends letter addressed to him in Hindi back to Centre #HindiImposition
#BJP #Modi… https://t.co/gP63GXvXnX"
3389,ZeeNewsEnglish,"https://t.co/lEQgCckyM5 brings latest news with 360 degree coverage across all genres!

Follow us on Instagram: https://t.co/CZ1MfoF4fc",5390712,India,"'Sorry!', says Shashi Tharoor after slamming PM #NarendraModi's speech in #Bangladesh 

https://t.co/eNbyzDKUtA"
3390,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/quQaeiHRIE"
3391,Ban_Evil_Book,"डरपोक MEDIA, TWEET Sec ना देखे

100%FB if u dont..

Trend मे प्रचार हेतु कई टि्वट्र बार-बार किए जाते हैं pl.. बर्दाश्त करे

Web Site से Video Link Copy Save Use",2712,दुर्लभ Playlist- CLICK & SEE -,"===============
#AmarVoteBJPKe #VoteForModi 
===============
#NoVoteTo_LiarModi Vote for BJP Vote for Nation… https://t.co/H5x3MW4hxW"
3392,oldteacher10,"Retired teacher.  
Not affiliated with any Political party. But, against communal polarization and fake history peddlers.",81,Kerala & Mumbai. ,"@Himalay04155335 @shahid_siddiqui As #Modiji's official biographer,#AndyMarino had unlimited access to Modiji for… https://t.co/oQn1yKd6IP"
3393,Updatenews360E,"Update News 360, Instant Updates Of All News Around The World (Entertainment, Politics, Sports, General & Etc...) https://t.co/KPhEf17phu",485,"India, Tamil Nadu","Vote in record numbers in Assam, West Bengal: Modi

#BengalElections #BJP #Congress #Elections2021 #NarendraModi… https://t.co/THdGZNIGBX"
3394,oldteacher10,"Retired teacher.  
Not affiliated with any Political party. But, against communal polarization and fake history peddlers.",81,Kerala & Mumbai. ,@Himalay04155335 @shahid_siddiqui Some citing this book as PM #NarendraModi's #Satyagraha document. I have read and… https://t.co/KJc8JuWjja
3395,latestly,"https://t.co/U4rHOvEUQR focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news. https://t.co/OCtmVDjYfd",68843,"Mumbai, India","World Leaders Summit 2021: Joe Biden Invites 40 Leaders Including Narendra Modi, Vladimir Putin, Xi Jinping to Clim… https://t.co/R4Yrxw42jq"
3396,aruntechone,"SOMNATH is Testimony to Indian Resilience
Ransacked & Rebuilt
Somnath loves both H & M subjects in Veraval
Arabs Turks must pay visit n reflect on ancestral sin",109,Bharat  Varsha,"@SajibNa19177322 @narendramodi Dharma Yuga is setting in 

#NarendraModi ji as #Primeminister visiting a temple is… https://t.co/rJcW7sRceI"
3397,dickk_modi,DICTATOR of the REPUBLIC OF INDIA since 2014,1,,If lying is an art.... I’m the Picasso... : #feku Bal Narendra #NoVoteTo_LiarModi #NarendraModi #ModiLies… https://t.co/pp5L9gIrWp
3398,Prakhar58898693,BELIEVER but only to what is LOGICAL and PRACTICAL,6,,Modi : Best comedian ever 👏👏😂😂😂 #LieLikeModi #Feku #Modi #NarendraModi #NoVoteTo_LiarModi #BJPFearsKejriwal… https://t.co/HvPF5fQiJv
3399,vidit_sethi,Nation First|Curiosity|Enthusiast|Plants|Environment|Technology|Travel|Tennis|Guitar|Music|Movies|Books|Writing| Don't speak about peace if you eat animals.,542,भारत,"@narendramodi Ji

I am a Big fan of your work. Just a request, remove your beard. 🙏

#NarendraModi #Bangladesh #ModiInBangladesh"
3400,Updatenews360E,"Update News 360, Instant Updates Of All News Around The World (Entertainment, Politics, Sports, General & Etc...) https://t.co/KPhEf17phu",485,"India, Tamil Nadu","#Modi  offers #Prayer  at kali temple in #Bangladesh 

#Bangladesh #NarendraModi #Shatkhira #temple 

Read More :
https://t.co/vlQzeAGxwM"
3401,sagark_sk,Sarkar ka alochak Bhakt door rahr,34,"Noida, India","#LieLikeModi 

Did Andhbakht’s Know Modi (""Bal Narendra"") Got A Time Machine And And Fought In Mahabharata Too.

Fe… https://t.co/S02JhVWn37"
3402,bsindia,"Latest updates #news #LIVE coverage on #economy #companies #markets #politics and #technology from India's leading business daily
https://t.co/VVl6HGuvvc",2078904,India,Prime Minister #NarendraModi on Saturday paid tribute to Bangladesh's 'Father of the Nation' Sheikh Mujibur Rahman… https://t.co/fmNdJgVZvb
3403,ibrahim0117,PROUD AN INDIAN & BEING A MUSLIM FOLLOWER OF SUFISM'S BELIEVE IN HUMANITY HONEST OPINION,32,"Hyderabad Telangana, India",At least four people were killed in the Bangladeshi city of #Chittagong on Friday after police fired rubber bullets… https://t.co/J3Xw2oA1MX
3404,_Himesh_,A Free Spirit,31,,"#NarendraModi was here too!
#नरेन्द्रमोदी #नरेन्द्र_मोदी #LieLikeModi https://t.co/hd80dTwCEN"
3405,thetribunechd,"Official Twitter handle of The Tribune, North India’s oldest and most trusted newspaper, published from Chandigarh, India. https://t.co/QQ5bS8UQEL",115958,Chandigarh,PM #NarendraModi offers prayer at centuries-old #JeshoreshwariKalitemple in #Bangladesh https://t.co/6bpxbErtjq
3406,24NewsHD,Pakistan's 1st Current Affairs Channel with News. ہر اظہار...قابل اعتبار,753509,Pakistan,"Anti-Modi protests sweep Bangladesh as deaths rise to five

Click here: https://t.co/zyQRuRHpvp

#24NewsHD #BJP… https://t.co/nSxIbX1zkV"
3407,BhagwaHaiJeevan,"Gau Sevak

Running a NGO to rehabilitate stray and abandoned Cows 🐄

Nation First 🚩🇮🇳",20,"Patna, India","In 1955 when the Saudi King was on a visit to India, the then Prime Minister #JawaharLalNehru had got the temple's… https://t.co/qqN7B06rIz"
3408,krishnpria,Management from IIT Delhi. Tweets under media section.,39550,,"Epic picture 
#NarendraModi #Bangladesh50 https://t.co/aqPGALoCQb"
3409,UiTV_Connect,"Trust 🌐UiTV - Follow Us, Make Sure You Read the #RightContent & #LatestNews, Stay Informed & Not Misinformed.",1108,"London, England","Joe Biden invites Modi to climate summit
#JoeBiden #climate #NarendraModi #PMModi #climatesummit 
https://t.co/d3eDczEa28"
3410,HitpalBatth8,ਸ਼ਤਰੰਜ ਵਿੱਚ ਵਜ਼ੀਰ ਤੇ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਜ਼ਮੀਰ ਮਰ ਜਾਵੇ ਤਾਂ ਜਿਉਂਣ ਦਾ ਕੋਈ ਫਾਇਦਾ ਨਹੀਂ !! 🌾🌾 ਕਿਸਾਨ ਮਜ਼ਦੂਰ ਏਕਤਾ ਜ਼ਿੰਦਾਬਾਦ 🌾🌾!! 💪💪ਮਾਝੇ ਦੇ ਮਝੈਲ💪💪 (❤ PB-06 ਵਾਲੇ ❤),458,Gurdaspur Punjab ,"The Actual Question Is 

#बैंक_नही_बिकने_देंगे
#LieLikeModi  #Feku #NarendraModi
#RipAdmkBjp #बैंक_नही_बिकने_देंगे… https://t.co/4iKB9EIUd4"
3411,AwazThevoice,Website on inclusive India,119,New Delhi,"Cultural vibes flow freely between two Bengals blurring the border line 
@narendramodi @sheikhhasina @ihcdhaka… https://t.co/xqQ6oPAj5P"
3412,Mimlical,"In view, a humble vaudevillian veteran tweetster, cast vicariously as both victim and villain by the vicissitudes of Fate.
@goal_hunt #bitcoin",122,White House,Mimlical: Mimlical: Mimlical: Mimlical: The first thing that the winning political party does is that they create a… https://t.co/aTzO3SKQlT
3413,MobOldham,Mo from Oldham aspiring to become a good Muslim & a member of Universal Sufi Order & MFI,19,Oldham Manchester UK,Ghazwa-e-Hind By SM Younus AlGohar https://t.co/nLA6d2BmHc Will #Pakistan attack #India or will India attack Pakist… https://t.co/5vbG8fnetK
3414,laaw_yaar,"“I win some and I lose some, but I get paid for all of them.” Just a Lawyer thing. 😌",19,"Kolkata, India","Bangladeshi freedom fighter Shree Narendra Modi was also very much present in Mahabharata..

#LieLikeModi… https://t.co/gi44wLO0Ts"
3415,HydWatch,lNews with Focus on people's problems Due to Policy paralysis - Better India with Public Transport Development🌲Political ReTweets r for Fun & GK 🌳 🌊🐢,6294,"Hitech City, Rajendra Nagar","Is EWS reservation under #NarendraModi , a scam to benefit some Elite  ppl only? EWS category  with 7 lakh pA, 1000… https://t.co/c1pMtLOGeF"
3416,JantaKaReporter,Leading the media revolution in India! Send your write ups to ireport@jantakareporter.com,167046,,"Senior #Congress leader and former Union Minister #ShashiTharoor on Saturday admitted his mistake and said ""sorry""… https://t.co/k7NF5kbRw6"
3417,anju_queen,"Born to Live Love & Die for Motherland
Hindustan Meri Jaan",8,"Greater Noida, India","@MamataOfficial #BangladeshIndiaFriendship
#Bangladesh News :-
The Prime Minister Of India 🇮🇳 Sri #NarendraModi At… https://t.co/0qxqYZeVmV"
3418,idnani_nandini,"Namo AndhBhakt Very Proud Hindu Nationalist Proud Home Maker 💞
#JaiShriRam 🙏🚩🇮🇳",8133,"Maharashtra, India","This is for all those who question #PMModi degree 
#NarendraModi ❤❤ https://t.co/BKgUgo51Bs"
3419,Vishal1516Anand,Nationalist। मंडल महा सचिव @bjp4chandigarh। Active Member @Rss। Member @BJP4india। Active Member @ABVP। कट्टर हिन्दू । राष्ट्र भक्त ! देश प्रथम ।,208,"Chandigarh, India","Feeling blessed after praying at the Jeshoreshwari Kali Temple
#NarendraModi https://t.co/FEvBAoM6Nn"
3420,MirrorNow,MIRROR NOW's Mission: Demand accountability and relentlessly drive improvement by addressing everyday issues.,95894,India,"India is moving forward with the mantra 'Sabka Saath, Sabka Vishwas.' #Bangladesh has shown change &amp; progress and… https://t.co/oZAcfPyqJ9"
3421,anju_queen,"Born to Live Love & Die for Motherland
Hindustan Meri Jaan",8,"Greater Noida, India","@MamataOfficial #BangladeshIndiaFriendship
#Bangladesh News :-
The Prime Minister Of India 🇮🇳 Sri #NarendraModi per… https://t.co/7TssAZLeQ0"
3422,HitpalBatth8,ਸ਼ਤਰੰਜ ਵਿੱਚ ਵਜ਼ੀਰ ਤੇ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਜ਼ਮੀਰ ਮਰ ਜਾਵੇ ਤਾਂ ਜਿਉਂਣ ਦਾ ਕੋਈ ਫਾਇਦਾ ਨਹੀਂ !! 🌾🌾 ਕਿਸਾਨ ਮਜ਼ਦੂਰ ਏਕਤਾ ਜ਼ਿੰਦਾਬਾਦ 🌾🌾!! 💪💪ਮਾਝੇ ਦੇ ਮਝੈਲ💪💪 (❤ PB-06 ਵਾਲੇ ❤),458,Gurdaspur Punjab ,"Why Aren't We Talking About This??

#बैंक_नही_बिकने_देंगे
#LieLikeModi #NoVoteTo_LiarModi #Feku 
#NarendraModi… https://t.co/FJCvAGbna4"
3423,Abhishe90824574,"Am an Optimizer engineer 
want to change the system",19,"Ahmadabad City, India","In almost every state elections the #bjp is fighting local political bodies, not the #congress , so what kind of na… https://t.co/j5TCiyUkAI"
